GEOID,max_intensity,population,Total_Num_Building,BHI_factor_low,shelter_seeking_low,numerator_low,SVI_Value,SVI_Value_Mapped
6095252107,0.08,3535,1098.0,0.011,11.7027,0.64,0.3849,0.3
6095253108,0.06,4353,1199.0,0.0088,11.482169999999998,0.55,0.7515,0.3
6095252610,0.06,3317,1031.0,0.0108,10.71576,0.58,0.5402,0.3
6013360200,0.06,5094,1551.0,0.0066,10.04418,0.54,0.6379,0.3
6097151601,0.1,2983,1769.0,0.0108,9.66597,1.01,0.3059,0.3
6097153403,0.04,4010,2120.0,0.0077,9.30813,0.86,0.6261,0.3
6095252317,0.06,11656,2388.0,0.0026,9.24522,0.33,0.3147,0.3
6013367100,0.04,5941,1466.0,0.0028,8.4162,0.22,0.8914,0.5
6095252502,0.06,1896,567.0,0.0147,8.359409999999999,0.44,0.7745,0.3
6055201500,0.2,1703,2074.0,0.0159,8.12676,1.74,0.597,0.3
6097152100,0.04,2804,866.0,0.0095,8.00733,0.43,0.6459,0.3
6097151204,0.06,3651,1165.0,0.0068,7.474559999999999,0.42,0.6612,0.3
6013317000,0.08,2078,763.0,0.0118,7.38021,0.48,0.5698,0.3
6013336201,0.04,4062,965.0,0.006,7.31733,0.3,0.7072,0.3
6095252313,0.06,5887,1522.0,0.004,6.99102,0.32,0.565,0.3
6097150607,0.08,5157,1981.0,0.0125,6.4426000000000005,1.3,0.1889,0.1
6097150602,0.08,4347,1237.0,0.0145,6.28351,0.94,0.1033,0.1
6013366002,0.04,6525,1368.0,0.0019,6.0839,0.13,0.862,0.5
6097151203,0.06,5269,1395.0,0.0112,5.909960000000001,0.82,0.1955,0.1
6097153902,0.04,4436,1553.0,0.0044,5.80194,0.36,0.7096,0.3
6013367200,0.04,5754,1197.0,0.0019,5.4672,0.12,0.8483,0.5
6097153102,0.04,5566,1066.0,0.0018,5.07715,0.1,0.8354,0.5
6067007413,0.02,7556,1745.0,0.0013,5.04045,0.12,0.9333,0.5
6095252705,0.06,6144,1916.0,0.0027,5.03583,0.28,0.3065,0.3
6013322000,0.06,6528,2214.0,0.0024,4.6436399999999995,0.28,0.5211,0.3
6013321200,0.06,5589,1227.0,0.0027,4.51863,0.17,0.526,0.3
6067009006,0.02,5649,1740.0,0.0016,4.49355,0.15,0.9354,0.5
6013321102,0.06,6826,2158.0,0.0022,4.47507,0.25,0.228,0.3
6013363000,0.08,7612,2456.0,0.0019,4.34511,0.25,0.5921,0.3
6055201700,0.1,4984,2451.0,0.0028,4.1931899999999995,0.36,0.4584,0.3
6097150612,0.08,4449,2426.0,0.003,4.05729,0.39,0.288,0.3
6097152000,0.04,2168,471.0,0.0037,4.04335,0.09,0.9108,0.5
6013320004,0.06,7038,1726.0,0.0019,4.03416,0.17,0.3936,0.3
6013340001,0.04,6419,1867.0,0.0021,4.00233,0.2,0.5441,0.3
6113010203,0.02,5722,1851.0,0.0014,3.95475,0.13,0.9983,0.5
6081605400,0.04,6364,1862.0,0.002,3.8520299999999996,0.2,0.3081,0.3
6097150701,0.06,4744,1516.0,0.0027,3.78282,0.21,0.7109,0.3
6081604400,0.04,5287,949.0,0.0024,3.7699499999999997,0.12,0.6696,0.3
6081610302,0.02,4796,869.0,0.0026,3.73617,0.12,0.7292,0.3
6013329000,0.04,6579,1946.0,0.0019,3.6940799999999996,0.19,0.6698,0.3
6067004502,0.02,5362,1295.0,0.0014,3.64075,0.09,0.9873,0.5
6013324002,0.04,5519,992.0,0.0022,3.6066899999999995,0.11,0.4504,0.3
6013369001,0.04,6771,1034.0,0.0011,3.5728,0.06,0.9622,0.5
6095253203,0.04,4179,1350.0,0.0028,3.55587,0.2,0.4727,0.3
6095252108,0.1,3067,1003.0,0.0114,3.49533,0.6,0.1825,0.1
6013338203,0.04,5379,782.0,0.0021,3.44067,0.09,0.2446,0.3
6013365003,0.06,5215,800.0,0.0022,3.41625,0.09,0.7601,0.3
6067005102,0.02,4632,1626.0,0.0015,3.4044,0.13,0.9358,0.5
6097151000,0.06,3359,2788.0,0.0033,3.34956,0.49,0.4959,0.3
6095253101,0.06,5302,1911.0,0.0021,3.30411,0.21,0.468,0.3
6013325000,0.04,5733,1936.0,0.0019,3.28572,0.19,0.4432,0.3
6081606000,0.04,5242,579.0,0.0021,3.23634,0.06,0.6235,0.3
6097150901,0.06,5104,1364.0,0.0021,3.1998599999999997,0.15,0.6837,0.3
6097151504,0.06,3705,1226.0,0.0029,3.1869300000000003,0.19,0.2577,0.3
6013364002,0.08,5868,1733.0,0.0018,3.16578,0.16,0.6949,0.3
6013320003,0.06,2801,725.0,0.0112,3.14913,0.43,0.0588,0.1
6095252910,0.04,5788,1687.0,0.0018,3.09699,0.16,0.3501,0.3
6067005002,0.02,7436,1889.0,0.0008,3.07535,0.08,0.9995,0.5
6041104102,0.04,5321,944.0,0.0019,3.03753,0.09,0.787,0.3
6097152203,0.04,3628,1312.0,0.0028,3.02154,0.19,0.4942,0.3
6095252914,0.04,5592,1545.0,0.0017,2.91687,0.14,0.4134,0.3
6081605100,0.04,3339,1149.0,0.0027,2.72487,0.16,0.3504,0.3
6097153103,0.04,4860,1108.0,0.0018,2.65659,0.11,0.7785,0.3
6013323000,0.04,4622,1563.0,0.0018,2.5571999999999995,0.15,0.249,0.3
6013366001,0.04,4594,1139.0,0.0018,2.50611,0.11,0.737,0.3
6097152201,0.04,3839,1153.0,0.0022,2.49957,0.13,0.6633,0.3
6013315000,0.08,3434,1800.0,0.0023,2.32311,0.21,0.5388,0.3
6097152300,0.04,4153,1693.0,0.0018,2.25333,0.16,0.2769,0.3
6097150100,0.4,2148,2708.0,0.0035,2.24685,0.5,0.3385,0.3
6095252315,0.06,4283,1337.0,0.0017,2.2401899999999997,0.12,0.2524,0.3
6081607701,0.04,3998,1052.0,0.0018,2.19537,0.1,0.7217,0.3
6013314102,0.04,6812,1672.0,0.0011,2.1700199999999996,0.09,0.6731,0.3
6081607900,0.04,3518,359.0,0.0021,2.16774,0.04,0.2513,0.3
6097150902,0.06,3406,1391.0,0.0021,2.1534299999999997,0.15,0.233,0.3
6067004801,0.02,6041,1635.0,0.0007,2.1048,0.06,0.9784,0.5
6113011102,0.02,5123,1020.0,0.0008,2.00105,0.04,0.8718,0.5
6095253106,0.04,3427,864.0,0.0018,1.863,0.08,0.5082,0.3
6013326000,0.04,3508,1345.0,0.0018,1.8431399999999998,0.12,0.2601,0.3
6095253201,0.04,4821,1888.0,0.0038,1.81592,0.37,0.1472,0.1
6081607800,0.04,3198,1064.0,0.0019,1.80501,0.11,0.2644,0.3
6013301000,0.02,5514,2349.0,0.0011,1.7888399999999998,0.13,0.3788,0.3
6097151900,0.04,2921,931.0,0.0019,1.7043599999999999,0.1,0.7413,0.3
6097153006,0.04,7343,2261.0,0.0008,1.6910399999999999,0.09,0.7064,0.3
6095252310,0.1,3067,1276.0,0.0018,1.6167900000000002,0.12,0.342,0.3
6067005205,0.02,3096,1189.0,0.001,1.61405,0.07,0.8521,0.5
6081601902,0.02,5841,897.0,0.0009,1.6129499999999999,0.04,0.4488,0.3
6033000801,0.02,2956,1154.0,0.0011,1.59675,0.07,0.9722,0.5
6067003202,0.02,5354,1574.0,0.0006,1.54225,0.05,0.9757,0.5
6041106001,0.06,5004,861.0,0.001,1.52322,0.05,0.7857,0.3
6081607702,0.04,2893,846.0,0.0018,1.51935,0.08,0.6513,0.3
6081601601,0.02,2884,1084.0,0.0017,1.5121499999999999,0.1,0.7139,0.3
6067006400,0.02,5918,2183.0,0.0005,1.50915,0.06,0.9159,0.5
6001433400,0.02,6644,2029.0,0.0007,1.43508,0.08,0.5281,0.3
6067004906,0.02,3279,975.0,0.0009,1.42835,0.04,0.8478,0.5
6097153806,0.04,2686,802.0,0.0018,1.4270100000000001,0.07,0.653,0.3
6013307205,0.02,7484,1341.0,0.0004,1.37025,0.03,0.9516,0.5
6095252904,0.04,8478,3582.0,0.0005,1.28664,0.1,0.5914,0.3
6067007416,0.02,4175,966.0,0.0006,1.20275,0.03,0.825,0.5
6113011400,0.02,4052,2882.0,0.0006,1.19055,0.09,0.9021,0.5
6067005101,0.02,4879,1386.0,0.0005,1.1572,0.03,0.959,0.5
6097153808,0.04,4313,1096.0,0.0009,1.13712,0.05,0.7173,0.3
6013307201,0.02,3794,693.0,0.0006,1.1052,0.02,0.9838,0.5
6081610500,0.02,4737,1074.0,0.0004,1.0499,0.03,0.8655,0.5
6097152701,0.04,5122,1692.0,0.0007,1.0287,0.06,0.7036,0.3
6067006101,0.02,5500,1559.0,0.0004,0.9887,0.03,0.9285,0.5
6097151800,0.06,5056,2007.0,0.0019,0.9567800000000001,0.2,0.0716,0.1
6095252802,0.04,1472,285.0,0.0022,0.95628,0.03,0.2667,0.3
6067009321,0.02,5975,1798.0,0.0005,0.9216899999999999,0.05,0.7633,0.3
6097152905,0.02,4058,1156.0,0.0007,0.9034499999999999,0.05,0.599,0.3
6097153809,0.04,4510,1372.0,0.0007,0.9015,0.05,0.5496,0.3
6001422800,0.02,11245,256.0,0.0003,0.89232,0.0,0.6163,0.3
6113010201,0.02,3985,1483.0,0.0007,0.88581,0.06,0.6491,0.3
6013373000,0.02,4711,1134.0,0.0004,0.8837,0.02,0.9456,0.5
6067004602,0.02,5663,1173.0,0.0003,0.8736,0.02,0.9896,0.5
6013321103,0.08,4779,1685.0,0.0018,0.8642,0.16,0.1169,0.1
6095253105,0.04,6489,1286.0,0.0004,0.8547,0.03,0.6662,0.3
6095252913,0.04,4998,1629.0,0.0017,0.85254,0.15,0.1243,0.1
6067009800,0.04,2183,1128.0,0.0013,0.8486400000000001,0.08,0.6828,0.3
6077004001,0.02,2484,1417.0,0.0007,0.83525,0.05,0.9405,0.5
6095252311,0.06,4623,1379.0,0.0018,0.83237,0.13,0.1259,0.1
6041121200,0.04,6478,1701.0,0.0004,0.79857,0.04,0.2613,0.3
6067009601,0.02,6954,1857.0,0.0002,0.78705,0.02,0.8974,0.5
6085509201,0.02,5324,1118.0,0.0005,0.7254299999999999,0.03,0.3435,0.3
6095252706,0.06,4182,1442.0,0.0017,0.7032600000000001,0.13,0.1401,0.1
6001406100,0.02,5887,871.0,0.0002,0.6922,0.01,0.846,0.5
6067006202,0.02,4319,1215.0,0.0003,0.6902,0.02,0.9822,0.5
6097153903,0.04,3588,1616.0,0.0019,0.68308,0.16,0.1587,0.1
6113011500,0.04,5709,3539.0,0.0004,0.67782,0.07,0.7196,0.3
6113010608,0.02,5675,1144.0,0.0004,0.6683399999999999,0.02,0.6335,0.3
6097151602,0.12,3212,2140.0,0.0021,0.667,0.23,0.0491,0.1
6067007001,0.02,4493,1346.0,0.0003,0.66695,0.02,0.953,0.5
6113010204,0.02,5186,1748.0,0.0002,0.64375,0.02,0.9734,0.5
6013382000,0.02,8334,1644.0,0.0002,0.6274,0.01,0.9295,0.5
6113010602,0.02,5597,1012.0,0.0004,0.62379,0.02,0.6165,0.3
6097153005,0.04,6614,3052.0,0.0003,0.6144299999999999,0.05,0.5789,0.3
