GEOID,max_intensity,population,Total_Num_Building,risk_level,BHI_factor_low,shelter_seeking_low
06067007802,0.02,4951,1660.0,low,0.0,0.0171
06067007903,0.02,4869,1736.0,low,0.0,0.0001
06067007906,0.02,3832,1240.0,low,0.0,0.0002
06067008117,0.02,2168,780.0,low,0.0,0.0
06067008130,0.02,4014,1386.0,low,0.0,0.003
06067008131,0.02,5796,1666.0,low,0.0,0.0075
06067008133,0.02,2794,578.0,low,0.0,0.0016
06067005702,0.02,4887,2128.0,low,0.0,0.0092
06085513000,0.02,14272,458.0,low,0.0,0.1011
06067007429,0.02,5186,771.0,low,0.0,0.0122
06067007428,0.02,3756,1029.0,low,0.0,0.0
06067007427,0.02,7278,1506.0,low,0.0,0.0146
06067007426,0.02,2444,471.0,low,0.0,0.005
06067005101,0.02,4879,1386.0,low,0.0,0.1218
06067007105,0.02,7408,2121.0,low,0.0,0.0123
06067007106,0.02,7378,2098.0,low,0.0,0.0125
06067007107,0.02,4076,1138.0,low,0.0,0.0067
06067007202,0.02,4282,2590.0,low,0.0,0.0352
06067005002,0.02,7436,1889.0,low,0.0,0.3237
06067007204,0.02,5509,1987.0,low,0.0,0.0111
06067007206,0.02,4067,2069.0,low,0.0,0.022
06067007207,0.02,4330,1974.0,low,0.0,0.0139
06067007208,0.02,4819,2143.0,low,0.0,0.0817
06067007209,0.02,3881,1497.0,low,0.0,0.0081
06067007301,0.02,5251,1772.0,low,0.0,0.0141
06067007402,0.02,6992,2195.0,low,0.0,0.0124
06067007403,0.02,4969,1588.0,low,0.0,0.0088
06067007413,0.02,7556,1745.0,low,0.0001,0.5306
06067007414,0.02,4409,1059.0,low,0.0,0.0186
06067007415,0.02,3445,908.0,low,0.0,0.0001
06067007416,0.02,4175,966.0,low,0.0,0.1266
06067007417,0.02,3685,900.0,low,0.0,0.0386
06067007422,0.02,2849,466.0,low,0.0,0.0001
06067007423,0.02,5803,591.0,low,0.0,0.0185
06067007424,0.02,4087,931.0,low,0.0,0.0171
06081601800,0.02,6366,2058.0,low,0.0,0.013
06081601605,0.02,6157,1608.0,low,0.0,0.0109
06081601604,0.02,2431,135.0,low,0.0,0.0068
06081601603,0.02,5923,1366.0,low,0.0,0.0115
06081601601,0.02,2884,1084.0,low,0.0001,0.2653
06081601502,0.02,5479,362.0,low,0.0,0.015
06081601501,0.02,5194,1248.0,low,0.0,0.0095
06081601400,0.02,7129,1373.0,low,0.0,0.0147
06081601200,0.02,6746,1476.0,low,0.0,0.016
