CENSUSCODE,OTHER_OTHER,OTHER_SINGLE FAMILY,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,RESIDENTIAL_SINGLE FAMILY
22047953102,630,0,0,96,930
22047953200,1864,0,0,187,2290
22049970100,871,0,4,534,1512
22049970200,733,0,24,349,1891
22049970300,1152,0,6,653,1973
22049970400,429,0,23,167,1345
22049970500,242,0,4,113,893
22051020204,44,0,0,14,1320
22051020205,179,0,53,19,3
22051020206,135,0,26,25,1457
22051020304,68,0,28,22,1720
22051020305,67,0,81,32,1581
22051020400,18,0,0,4,1368
22051020502,224,0,0,276,1461
22051020505,67,0,0,372,217
22051020506,150,0,0,182,1043
22051020507,47,0,13,168,1104
22051020511,58,0,5,310,786
22051020512,83,0,20,60,522
22051020513,142,0,29,181,917
22051020514,95,0,0,42,1622
22051020515,116,0,0,121,945
22051020516,110,0,0,268,871
22051020517,223,0,0,366,914
22051020518,77,0,32,55,1100
22051020519,213,0,0,406,780
22051020600,484,0,79,638,290
22051021000,189,0,1,282,675
22051021100,149,0,0,160,724
22051021200,196,0,4,111,495
22051021300,77,0,0,8,1265
22051021400,2,0,0,1,920
22051021500,70,0,76,3,106
22051021601,106,0,51,67,497
22051021602,18,0,0,6,682
22051022601,87,0,4,182,1027
22051023003,34,0,2,5,1200
22051023004,105,0,21,40,1921
22051023300,19,0,0,0,809
22051023400,30,0,0,0,1349
22051023500,110,0,1,92,1839
22051023600,123,0,24,101,2063
22051023700,125,0,8,242,545
22051023800,125,0,59,237,973
22051023901,70,0,28,49,1010
22051023902,43,0,0,19,1100
22051023903,55,0,1,7,1053
22051023904,75,0,14,39,961
22051024001,104,0,0,315,883
22051024002,22,0,0,513,973
22051024100,121,0,0,731,660
22051024202,881,0,95,56,46
22051024300,292,0,18,119,1024
22051024400,148,0,6,105,996
22051024500,139,0,39,194,321
22051024601,93,0,6,119,380
22051024700,91,0,15,40,512
22051024801,155,0,7,136,1093
22051024900,307,0,13,76,537
22051025002,40,0,4,40,1076
22051025003,42,0,15,32,1278
22051025004,99,0,61,89,482
22051025005,29,0,1,108,1154
22051025102,122,0,9,40,1543
22051025103,130,0,6,15,1220
22051025104,29,0,37,40,809
22051025201,129,0,62,58,382
22051025202,123,0,133,77,1131
22051025300,96,0,0,134,654
22051025400,197,0,34,454,576
22051025500,72,0,2,477,400
22051025600,111,0,0,413,229
22051025700,199,0,0,398,50
22051025800,154,0,1,563,118
22051025900,290,0,6,666,250
22051026000,385,0,9,117,780
22051026100,112,0,157,123,811
22051026200,235,0,9,201,278
22051026300,429,0,1,90,983
22051026400,22,0,1,6,705
22051026500,98,0,0,83,577
22051026600,189,0,7,97,857
22051026700,216,0,2,97,625
22051026800,130,0,38,207,717
22051026900,203,0,5,174,1023
22051027000,144,0,19,224,2094
22051027100,129,0,24,662,467
22051027200,304,0,0,1202,1023
22051027501,701,0,0,136,2531
22051027502,66,0,1,50,1295
22051027601,147,0,9,26,1857
22051027602,170,0,1,487,729
22051027701,125,0,0,174,1801
22051027703,47,0,28,128,1125
22051027803,246,0,53,178,441
22051027806,159,0,6,103,2516
22051027810,22,0,0,0,1366
22051027811,20,0,41,4,1013
22051027812,28,0,27,17,1148
22051027813,20,0,67,83,1064
22051027814,38,0,15,37,1267
22051027815,120,0,34,105,298
22051027816,113,0,9,51,2115
22051027817,58,0,0,162,2088
22051027818,325,0,0,123,1236
22051027819,30,0,0,217,702
22051027820,27,0,0,42,1886
22051027903,1569,0,1,1021,78
22051027904,1674,0,0,418,665
22051028000,252,0,0,433,1797
22051028200,897,0,13,516,1262
22051028300,822,0,0,781,73
22051028400,86,0,3,22,2448
22051028500,114,0,6,177,1516
22051028600,163,0,9,220,1057
22051028700,115,0,116,51,292
22051028800,203,0,21,42,282
22051028900,557,0,15,253,1585
22051029000,153,0,18,159,1128
22051029100,186,0,11,52,1434
22051029200,140,0,33,244,1438
22051029300,147,0,26,235,1381
22051029400,98,0,6,94,1599
22051029500,112,0,7,93,1785
22051029600,38,0,107,65,465
22051029700,99,0,29,46,397
22051029800,196,0,123,64,622
22051029900,101,0,102,51,90
22051030000,80,0,13,75,903
22051030100,133,0,75,28,1709
22051030200,47,0,44,17,1547
22051030300,391,0,58,78,294
22051980000,176,0,0,12,0
22051990000,6,0,0,0,0
22051990100,1,0,0,0,0
22053000100,2857,0,0,1222,355
22053000200,3201,0,0,1204,212
22053000300,3502,0,0,145,104
22053000401,1806,0,3,39,2
22053000402,2866,0,0,494,120
22053000500,1028,0,0,754,685
22053000600,1680,0,0,86,25
22053000700,1104,0,0,38,25
22055000100,380,0,2,11,685
22055000200,245,0,1,11,864
22055000500,183,0,42,0,1028
22055000602,333,0,18,22,1469
22055000603,398,0,53,105,597
22055000605,161,0,20,12,374
22055000606,112,0,59,4,1046
22055000700,553,0,97,66,819
22055000800,224,0,0,16,1046
22055000900,82,0,23,11,552
22055001001,968,0,17,686,1671
22055001002,294,0,37,19,803
22055001003,117,0,7,52,1713
22055001100,321,0,35,79,1895
22055001201,167,0,36,111,1042
22055001202,343,0,9,26,1421
22055001301,91,0,7,59,568
22055001302,194,0,12,4,1060
22055001403,243,0,78,240,1628
22055001408,1607,0,0,150,843
22055001412,201,0,76,8,1726
22055001413,172,0,10,72,1524
22055001414,246,0,0,107,2293
22055001415,421,0,0,226,1722
22055001416,103,0,0,27,1318
22055001417,481,0,25,211,2182
22055001418,148,0,35,30,986
22055001419,291,0,22,123,1501
22055001420,254,0,74,8,539
22055001421,182,0,74,3,570
22055001422,88,0,26,6,491
22055001423,139,0,6,20,1321
22055001424,243,0,7,68,2467
22055001425,990,0,41,246,1643
22055001426,422,0,7,291,2755
22055001427,656,0,7,411,2860
22055001428,691,0,14,203,2005
22055001500,294,0,39,10,1836
22055001600,49,0,3,0,1362
22055001700,182,0,8,6,2443
22055001801,91,0,68,1,721
22055001802,172,0,34,0,1186
22055001903,354,0,6,352,1682
22055001904,207,0,54,67,1225
22055001905,854,0,60,420,2143
22055001906,296,0,0,522,2037
22055001907,264,0,0,396,1142
22055001908,326,0,51,137,1484
22055001909,158,0,0,483,857
22055002001,563,0,0,686,2062
22055002003,388,0,1,552,948
22055002004,297,0,0,338,1272
22055002101,364,0,21,517,2326
22055002102,478,0,0,494,2178
22055002103,701,0,15,295,1941
22055002105,341,0,1,252,1547
22055002106,381,0,0,442,1532
22055002200,446,0,54,9,960
22057020100,245,0,85,32,1131
22057020202,154,0,70,132,1439
22057020400,230,0,147,44,515
22057020500,441,0,227,231,1860
22057020600,135,0,38,17,781
22057020702,863,0,80,184,1357
22057020703,486,0,115,199,2058
22057020704,730,0,147,515,2136
22057020800,686,0,70,364,1502
22057020900,233,0,112,146,857
22057021000,675,0,283,282,1217
22057021101,818,0,607,308,756
22057021102,440,0,187,332,1670
22057021200,1027,0,135,375,1614
22057021300,288,0,102,215,785
22057021400,622,0,109,233,1812
22057021500,579,0,191,340,1695
22057021602,365,0,44,231,1731
22057021603,537,0,147,399,1194
22057021604,272,0,61,99,1628
22057021700,433,0,150,248,1133
22057021800,385,0,91,340,1737
22057021902,434,0,58,403,1998
22057021903,212,0,53,624,1653
22057021904,283,0,47,161,617
22057022000,189,0,122,8,526
22059970100,1358,0,17,315,1435
22059970200,1429,0,13,352,1959
22059970300,2040,0,6,533,2040
22061960100,631,0,7,584,2057
22061960200,795,0,4,917,1818
22061960300,461,0,61,134,1161
22061960401,349,0,63,9,648
22061960402,107,0,3,2,1006
22061960500,522,0,66,57,1448
22061960600,538,0,38,453,1509
22061960701,625,0,0,696,1730
22061960702,379,0,2,321,1276
22061960800,300,0,133,155,845
22061960900,246,0,91,16,533
22061961000,362,0,70,361,1425
22063040101,470,0,25,357,1025
22063040102,337,0,23,387,1162
22063040103,442,0,6,771,1293
22063040202,517,0,5,680,1589
22063040203,152,0,0,421,759
22063040204,413,0,7,562,1283
22063040304,226,0,5,801,1743
22063040305,216,0,1,695,1639
22063040306,278,0,3,278,1942
22063040307,106,0,1,151,1543
22063040308,154,0,1,444,2032
22063040403,155,0,4,564,747
22063040404,303,0,19,192,1056
22063040405,301,0,20,452,610
22063040406,222,0,14,372,1889
22063040501,236,0,44,453,571
22063040502,148,0,2,411,1988
22063040503,312,0,24,406,740
22063040601,333,0,14,127,1459
22063040602,294,0,13,182,1363
22063040700,453,0,21,36,1248
22063040805,286,0,30,306,1355
22063040807,186,0,0,444,633
22063040808,205,0,1,349,1914
22063040809,318,0,0,523,1153
22063040810,411,0,1,582,1211
22063040811,130,0,10,214,814
22063040812,157,0,14,276,2048
22063040813,56,0,4,295,894
22063040814,105,0,0,468,1489
22063040903,288,0,12,664,969
22063040904,663,0,11,479,1725
22063040905,731,0,5,565,1570
22063040906,476,0,6,316,1159
22065960100,886,0,0,371,409
22065960200,2145,0,4,99,218
22065960300,282,0,32,380,220
22065960400,162,0,13,449,126
22065960500,266,0,0,298,491
22067950100,605,0,62,322,1036
22067950200,758,0,37,523,2345
22067950300,301,0,40,181,1256
22067950400,212,0,52,49,920
22067950500,398,0,82,141,1210
22067950600,821,0,70,375,1374
22067950700,406,0,19,356,1370
22067950800,367,0,24,116,1323
22069000100,612,0,0,472,1174
22069000200,812,0,9,624,1285
22069000300,979,0,9,663,2242
22069000400,495,0,49,214,1058
22069000500,330,0,6,19,1790
22069000601,539,0,109,125,241
22069000602,431,0,141,242,1061
22069000700,416,0,70,42,951
22069000800,793,0,8,745,1920
22069000901,495,0,8,507,1144
22069000902,758,0,5,337,1466
22071000100,83,0,425,25,394
22071000200,99,0,176,14,214
22071000300,92,0,142,20,287
22071000400,122,0,220,44,586
22071000601,147,0,42,18,91
22071000602,74,0,154,37,777
22071000603,50,0,77,23,92
22071000604,82,0,155,78,915
22071000605,308,0,70,12,572
22071000606,45,0,5,4,1758
22071000607,39,0,1,3,1749
22071000611,79,0,131,37,1001
22071000612,345,0,3,29,655
22071000615,91,0,32,3,612
22071000616,73,0,23,24,1292
22071000617,13,0,125,20,359
22071000618,51,0,26,30,1448
22071000619,79,0,13,61,493
22071000620,69,0,38,3,0
22071000701,94,0,73,15,314
22071000702,149,0,261,34,375
22071000800,77,0,215,35,369
22071000901,185,0,61,30,305
22071000902,90,0,43,23,163
22071000903,100,0,73,37,215
22071000904,107,0,82,41,282
22071001100,190,0,318,46,329
22071001200,114,0,361,53,245
22071001301,93,0,361,51,373
22071001302,33,0,215,19,213
22071001401,128,0,142,47,470
22071001402,86,0,247,45,579
22071001500,147,0,182,34,180
22071001600,27,0,9,0,1
22071001701,154,0,1,5,802
22071001702,227,0,4,5,990
22071001720,339,0,253,26,854
22071001723,125,0,9,1,1733
22071001724,148,0,266,33,1213
22071001736,153,0,79,3,219
22071001737,62,0,67,11,755
22071001739,40,0,29,25,597
22071001740,41,0,45,20,1166
22071001741,21,0,0,0,491
22071001743,51,0,56,10,455
22071001744,74,0,260,30,418
22071001745,36,0,161,17,954
22071001746,59,0,72,50,1380
22071001747,201,0,0,17,1589
22071001748,78,0,3,1,1545
22071001749,71,0,155,4,351
22071001750,90,0,122,35,299
22071001751,1143,0,19,57,36
22071001752,123,0,213,17,660
22071001753,121,0,164,32,571
22071001754,30,0,81,10,725
22071001755,64,0,203,3,909
22071001756,37,0,55,0,189
22071001757,16,0,10,0,268
22071001758,507,0,7,12,775
22071001800,102,0,275,43,174
22071001900,47,0,286,27,217
22071002000,76,0,250,54,185
22071002100,32,0,187,27,184
22071002200,51,0,221,24,220
22071002300,227,0,244,63,552
22071002401,27,0,132,20,636
22071002402,39,0,358,45,705
22071002501,75,0,160,31,613
22071002502,69,0,165,11,737
22071002503,36,0,98,7,736
22071002504,36,0,197,9,762
22071002600,101,0,256,45,108
22071002700,94,0,292,21,144
22071002800,68,0,239,52,180
22071002900,66,0,228,28,180
22071003000,58,0,215,22,218
22071003100,48,0,184,28,295
22071003301,74,0,11,19,941
22071003302,63,0,43,49,1375
22071003303,34,0,268,15,492
22071003304,71,0,241,17,536
22071003307,27,0,143,25,394
22071003308,172,0,187,29,1082
22071003400,69,0,256,30,143
22071003500,39,0,244,33,166
22071003600,62,0,283,40,186
22071003701,91,0,68,33,507
22071003702,207,0,592,83,491
22071003800,70,0,171,56,114
22071003900,102,0,176,42,101
22071004000,90,0,295,76,199
22071004100,45,0,227,18,264
22071004401,101,0,262,34,161
22071004402,135,0,3,11,1
22071004500,66,0,431,41,265
22071004600,39,0,460,58,391
22071004800,22,0,16,45,0
22071004900,207,0,245,34,174
22071005000,166,0,207,16,120
22071005400,146,0,292,14,167
22071005500,277,0,333,29,791
22071005601,57,0,166,27,1014
22071005602,59,0,178,28,1169
22071005603,37,0,169,25,564
